time,theta1,omega1,theta2,omega2
0.0,1.5748661749706847,0.0,1.5754627018296745,0.0
0.02,1.5725449814441685,-0.23211944827957567,1.5754627076639927,2.2372670604463098e-07
0.04,1.5655814518570013,-0.46422855257009527,1.57546257436445,-2.3511784476340095e-05
0.06,1.5539763768101515,-0.6962528335475471,1.5754607782743415,-0.00020261243575389338
0.08,1.5377332123373897,-0.9279897894736381,1.5754511985341224,-0.0008828871724178803
0.1,1.5168612614787818,-1.1590471138707343,1.5754177877820934,-0.002728150867075848
0.12,1.491380051400473,-1.3887861326487922,1.5753272356603665,-0.006815332521176735
0.14,1.4613247337817974,-1.6162768551424758,1.5751199067982833,-0.014710601058198576
0.16,1.4267522015897733,-1.840273371863225,1.5746995563694524,-0.028511965659063825
0.18,1.3877474057863253,-2.0592198029087734,1.5739226808078415,-0.050840748931888585
0.2,1.3444291741942058,-2.271295307539677,1.5725886872607138,-0.08476580504812133
0.22,1.2969547147804057,-2.474500387919767,1.5704323247893606,-0.13365260120389527
0.24,1.2455220370085294,-2.6667760788600745,1.5671198450234396,-0.2009442534134399
0.26,1.1903698262493965,-2.8461349869273804,1.5622500234670753,-0.2899005051567075
0.28,1.1317748222539965,-3.0107749395623524,1.5553604878093024,-0.40333466930022527
0.3,1.0700473486027253,-3.1591457537243923,1.5459389608317848,-0.5433925779495928
0.32,1.0055261392132626,-3.289951256202315,1.533438217545134,-0.7114058205642155
0.34,0.9385737844095449,-3.402086860295686,1.5172931244263215,-0.9078303819805208
0.36,0.8695739309065773,-3.4945311521643463,1.4969381231141698,-1.132259951917212
0.38,0.7989308660364443,-3.5662210016172344,1.471823898422711,-1.3834900143113251
0.4,0.7270715024704482,-3.6159413229904445,1.4414324682939648,-1.6596078974403863
0.42,0.654449201912712,-3.6422549157406716,1.4052903608830758,-1.9580921596838978
0.44,0.5815484585951708,-3.6434884207110168,1.3629797600760947,-2.275916488421812
0.46,0.5088892468194526,-3.617781031733635,1.31414749545866,-2.6096627488070663
0.48,0.43702975656437615,-3.5631947852067194,1.2585116035484127,-2.9556521018407222
0.5,0.3665663770557722,-3.47787938829625,1.1958650318635595,-3.310100392780101
0.52,0.29812991661848953,-3.3602810670045296,1.1260759965120806,-3.6692958066855774
0.54,0.2323773002381071,-3.209384368014265,1.0490846833598948,-4.029782938802544
0.56,0.16997816957636278,-3.0249800260220012,0.9648964604214865,-4.388520066574778
0.58,0.11159583613574962,-2.807963199907674,0.8735726734978009,-4.742953245090025
0.6,0.05786179228345166,-2.560686619208988,0.7752214170022809,-5.090927279834105
0.62,0.009342187284094378,-2.2874215363917316,0.6699926434562573,-5.430321034069726
0.64,-0.03350663032288721,-1.9950041874034803,0.5580844204225421,-5.758274286744509
0.66,-0.07039792024674177,-1.6937285256475316,0.4397697203499569,-6.069895741985346
0.68,-0.10129419796515672,-1.3983961131735914,0.31545402592064403,-6.356516091249971
0.7000000000000001,-0.12650567932947446,-1.1290079249454372,0.18576830022166935,-6.604055329627346
0.72,-0.14678931473078638,-0.9098623049414248,0.05168210270591642,-6.792967758623546
0.74,-0.16339990622413653,-0.7654352339485229,-0.08541537243285027,-6.901812776162746
0.76,-0.17802283342532155,-0.7129157760777445,-0.2237488367920016,-6.914901985833166
