time,theta1,omega1,theta2,omega2
0.0,1.5806975264102257,0.0,1.5727715491405068,0.0
0.02,1.5776633768262334,-0.30341981164589343,1.572771400499276,-1.1752536548486835e-05
0.04,1.5685605525648476,-0.6068598120090805,1.5727711741228894,-1.4416108650654368e-05
0.06,1.5533900273660064,-0.910129623863658,1.5727699748401773,-0.00015458773516400024
0.08,1.532160428302651,-1.212619800223454,1.5727611317537322,-0.0008887827026102885
0.1,1.5048984270719084,-1.5131050519596247,1.5727245100140603,-0.003129419550329117
0.12,1.471662736940513,-1.809584651403408,1.5726161359547004,-0.008364587530470289
0.14,1.4325606039479744,-2.099202284195764,1.572355919782473,-0.018721579659566907
0.16,1.38776464644732,-2.3782999332576025,1.5718150019676644,-0.03693467751783068
0.18,1.337526886902717,-2.642649499175232,1.5708049977211884,-0.06618354663710173
0.2,1.2821863254547745,-2.8878619002311385,1.5690718460646562,-0.10979671670071968
0.22,1.2221670976113579,-3.109899786967749,1.5662966277280372,-0.17086366788178775
0.24,1.1579664833898646,-3.3055538543221767,1.5621043237133443,-0.251845599443038
0.26,1.0901350562130592,-3.4727298884525166,1.5560794940164004,-0.35428868164268124
0.28,1.0192538068708863,-3.6104581277980734,1.5477860515909103,-0.47870725200234243
0.3,0.945913786889021,-3.7186439836088256,1.5367876093051231,-0.6246377944907049
0.32,0.8707024766064925,-3.7976667641243225,1.5226654795653303,-0.7908074300622601
0.34,0.7941985905253558,-3.847958269145561,1.5050327908956376,-0.9753416630946378
0.36,0.7169746075800127,-3.869663480351788,1.4835445753741432,-1.1759527303907364
0.38,0.6396048391998418,-3.8624310304568215,1.4579045122413603,-1.390083757392059
0.4,0.5626763114393241,-3.825338789402227,1.4278692285601962,-1.6150113819126384
0.42,0.48679994759221973,-3.756933886070289,1.3932508081019606,-1.8479259983955174
0.44,0.41262004593406476,-3.6553581055896167,1.353917729776472,-2.0860123056906983
0.46,0.3408206439634672,-3.5185290016555126,1.3097940300435147,-2.3265486561498125
0.48,0.2721279417522432,-3.344348304728783,1.2608561964058909,-2.567035653908575
0.5,0.20730851691220692,-3.1309097174185445,1.207127178484761,-2.805355259404175
0.52,0.14716361732348543,-2.8766786913619296,1.1486669680386246,-3.039952849941442
0.54,0.09252035028367459,-2.580619572059895,1.0855594288683703,-3.2700271054984844
0.56,0.044220999074096164,-2.2422542738904827,1.0178954218917275,-3.495706734488995
0.58,0.003111845253023644,-1.861656117855507,0.9457527429324202,-3.7181870771184045
0.6,-0.029967551515502476,-1.4394220633718526,0.8691740382728289,-3.9397882596269707
0.62,-0.05419518874554463,-0.9767412312911894,0.7881448521353076,-4.1638680023104815
0.64,-0.06878183910720645,-0.4758278025001137,0.7025759395224745,-4.3944493358430865
0.66,-0.07300287780075944,0.05872279899247347,0.6122981983678654,-4.635259559125405
0.68,-0.0662748146599998,0.6165886961911075,0.5170874827110398,-4.887567043824325
0.7000000000000001,-0.04833185667485169,1.1747839809743525,0.41675270291264865,-5.145839094649056
0.72,-0.01958543861806638,1.686504606937826,0.31133838750424975,-5.390729087779578
0.74,0.018294621554533222,2.0724013372477534,0.20147019093903917,-5.583106749890884
0.76,0.06182314301472296,2.236508510827908,0.088707321328043,-5.672180401744718
0.78,0.10588035673370323,2.1227441564106106,-0.02451321169316978,-5.627506434058261
0.8,0.14507426692735984,1.7623136960897845,-0.13560812654229257,-5.466242287088707
0.8200000000000001,0.17533449989928085,1.2458171025197726,-0.2427110619283037,-5.236935869502006
0.84,0.19445794614674985,0.6607833149910085,-0.34493146506777034,-4.983777445287733
0.86,0.20168869493034608,0.06325767601416078,-0.442069690020234,-4.73120179287202
0.88,0.19710082674490903,-0.5178774984125499,-0.5342403043256794,-4.4874647719923155
0.9,0.18117388682172422,-1.0691926847757416,-0.6216251632502231,-4.252155706657796
0.92,0.15457392952169732,-1.5844788313967961,-0.7043571747356125,-4.0214256085964255
0.9400000000000001,0.11805625387707347,-2.060576759250438,-0.7824823322053553,-3.7907396597148972
0.96,0.07242455525021829,-2.4956438670126992,-0.8559605385648806,-3.556159543408773
0.98,0.018511432817665506,-2.888592815276157,-0.9246837890510935,-3.314885203226226
1.0,-0.04283540308219972,-3.2390022690155584,-0.988501128686481,-3.0654319430940076
1.02,-0.1107667674046654,-3.5471518731116825,-1.0472450633832457,-2.8076178917224883
1.04,-0.18444612548214626,-3.8140187312893716,-1.1007565752853243,-2.5424474106519526
1.06,-0.2630626534039391,-4.041168457823856,-1.1489072106059373,-2.271942266497937
1.08,-0.3458408969777438,-4.230523942175262,-1.1916176120166713,-1.9989613784412958
1.1,-0.43204465230330713,-4.384021824672114,-1.2288726314205838,-1.7270440996542382
1.12,-0.5209730518702356,-4.503182027390873,-1.2607337669879206,-1.4603026712377694
1.1400000000000001,-0.611947503915782,-4.5886323007445355,-1.2873500237635427,-1.203371012236157
1.16,-0.7042892361128388,-4.639660170204065,-1.308968141161952,-0.9613849688982743
1.18,-0.7972891720612572,-4.653922143018514,-1.3259421742970554,-0.7399203037915049
1.2,-0.8901752374617535,-4.627518585892146,-1.3387403663281408,-0.5447578905560166
1.22,-0.9820869556481261,-4.5556877552880755,-1.3479442619558701,-0.38131836295172483
1.24,-1.0720714975268175,-4.434254892813655,-1.3542324209966383,-0.25369161360087167
1.26,-1.1591145696918435,-4.261579522210861,-1.3583418952059028,-0.16344213988001005
1.28,-1.242208923202334,-4.040199559185801,-1.361007672330477,-0.10870840575919756
1.3,-1.3204442954252016,-3.7771942091647475,-1.36289226774316,-0.08419889506950713
1.32,-1.3930879176075108,-3.4829051536888334,-1.3645262789763069,-0.0822651172967509
