time,theta1,omega1,theta2,omega2
0.0,1.5514491705809959,0.0,1.5751539578124747,0.0
0.02,1.5502794641384456,-0.1169678528250027,1.5751528084861968,-0.00011922933869732799
0.04,1.5467706995869355,-0.2338988998501536,1.5751488130782478,-0.0002953309625067681
0.06,1.5409240911857474,-0.3507416077487217,1.5751400896316246,-0.0006086867033520972
0.08,1.5327421544399762,-0.4674151030054089,1.5751227166514654,-0.0011865230794818843
0.1,1.5222294313481137,-0.5837951135340304,1.5750895748213687,-0.0022253869095223175
0.12,1.5093934973922913,-0.699700735455694,1.5750287379876398,-0.004012351949878976
0.14,1.4942462072185483,-0.8148830522179347,1.5749214807077223,-0.006943348714647022
0.16,1.4768051500637076,-0.9290164085669469,1.5747399466369625,-0.011537370819024775
0.18,1.457095238567231,-1.0416938389651214,1.5744445971179106,-0.018444180945945923
0.2,1.435150335156436,-1.152427961780326,1.5739815905833936,-0.02844338613172935
0.22,1.4110147966112092,-1.2606585982521399,1.5732802825822532,-0.042432735811550625
0.24,1.384744791813055,-1.3657676953868527,1.572251081591141,-0.06140441201034631
0.26,1.356409256127294,-1.4671011840622208,1.5707838893658044,-0.08640942318371694
0.28,1.3260903405295825,-1.5639958855668263,1.568747377924471,-0.11851231050224015
0.3,1.2938833111048307,-1.6558085769518218,1.5659892120936023,-0.1587400365455456
0.32,1.2598958684848185,-1.741942972587998,1.5623373252928503,-0.2080308525696254
0.34,1.224246988698561,-1.8218706552135886,1.5576021577534025,-0.2671889473330434
0.36,1.1870654331048616,-1.8951424852806253,1.551579703510236,-0.336850188217339
0.38,1.1484881426131834,-1.961388847204408,1.5440551009358012,-0.41746204117684294
0.4,1.1086587342022642,-2.0203090439437217,1.5348064808937216,-0.5092782106923374
0.42,1.0677263031275084,-2.071651984649769,1.5236087869412216,-0.6123661796977633
0.44,1.025844675927668,-2.115191748253984,1.5102373350788967,-0.7266239507455667
0.46,0.9831721610509988,-2.150701496329602,1.4944709972092582,-0.8518022980920139
0.48,0.9398718165039682,-2.1779296090278453,1.4760949015528322,-0.9875285812310044
0.5,0.896112144231624,-2.196580597054778,1.4549026704203591,-1.1333297890310206
0.52,0.852068103018715,-2.206302772252598,1.4306982141065754,-1.2886534235374174
0.54,0.8079222925140543,-2.2066836924009823,1.403297131149525,-1.4528860642260912
0.56,0.7638661459830526,-2.1972538881212746,1.3725277566634528,-1.6253701245616257
0.58,0.7201009611109618,-2.1774990176200486,1.3382318877587287,-1.8054195966046025
0.6,0.6768386062462588,-2.146880522276688,1.3002651989384857,-1.992335260702053
0.62,0.6343017246790872,-2.104865153981329,1.2584973604981669,-2.1854190187106806
0.64,0.5927232526578129,-2.050964316878347,1.212811892530489,-2.3839855578235065
0.66,0.5523450397052856,-1.984785250729163,1.1631058406169748,-2.587367419340859
0.68,0.5134152824117058,-1.9060982198868355,1.1092894833027769,-2.7949058224491234
0.7000000000000001,0.4761844230033156,-1.8149261834781474,1.051286444411411,-3.005916190884499
0.72,0.4408989239594324,-1.7116684318145299,0.9890349005694499,-3.2196094704354024
0.74,0.4077920979624133,-1.5972745619376896,0.9224910235242537,-3.434943441019509
0.76,0.3770707953196086,-1.4734894284540807,0.8516363495922114,-3.6503709974868066
0.78,0.348896298408411,-1.343188816491025,0.77649152799101,-3.863450412660794
0.8,0.32335758456508684,-1.2108039538040223,0.697139370270637,-4.070305687936507
0.8200000000000001,0.30043566563718854,-1.0827681972835985,0.6137597880588762,-4.265000682183985
0.84,0.27996030687710144,-0.9677851869963059,0.526676367494196,-4.4390562853310485
0.86,0.2615662528244125,-0.8765297949950589,0.4364074543784804,-4.581581738982835
0.88,0.24466514407584466,-0.8203104202539974,0.34370336789310824,-4.680619880542787
0.9,0.22845622477782493,-0.8085699313741902,0.24954211832419856,-4.725910626720115
0.92,0.21199293055500676,-0.846018435892185,0.15506211454054858,-4.71216709161157
0.9400000000000001,0.1942973654544364,-0.9309870514085444,0.06143988857338923,-4.640966261568226
0.96,0.17448500657711974,-1.0561152282371384,-0.0302435187868424,-4.519916850475986
