time,theta1,omega1,theta2,omega2
0.0,1.5709065041982437,0.0,1.5635103656006515,0.0
0.02,1.5675550282401816,-0.3351500795519294,1.5635104214413407,1.0299129930615404e-05
0.04,1.5575006235368873,-0.6702710088191786,1.563510675391331,-1.0764013234790648e-05
0.06,1.540746586413509,-1.0050108310211625,1.5635065781413877,-0.0005755199752934777
0.08,1.5173091358664645,-1.338377643071845,1.5634745660143774,-0.0031500610519936256
0.1,1.487233179550761,-1.6684511859215616,1.5633485521435697,-0.010585627330358336
0.12,1.4506131350229292,-1.9921776590327702,1.5629888196570725,-0.02742969082980648
0.14,1.4076163237151302,-2.3053336736267327,1.5621469201962994,-0.05999044265865789
0.16,1.3585046281986293,-2.602747990617226,1.5604329191559978,-0.11601795151069812
0.18,1.3036488169933107,-2.878808734356596,1.5572934794514663,-0.20394029071835068
0.2,1.2435305901756932,-3.1281537280188596,1.5520089375742063,-0.33176486815621054
0.22,1.1787308875490206,-3.346308104101871,1.5437133180091627,-0.5059430296866563
0.24,1.1099082265270874,-3.530006313193528,1.5314343788821143,-0.7305562340574561
0.26,1.0377750122582141,-3.6770685862132177,1.514144729777469,-1.0070379453767833
0.28,0.9630802574447399,-3.785913397543887,1.4908132813782398,-1.3343919519885663
0.3,0.8866038505312476,-3.8549325320583216,1.460449128640953,-1.7096885209630375
0.32,0.8091626779412837,-3.881964434775888,1.4221347128318973,-2.128609037201937
0.34,0.7316249473850763,-3.8640172734592233,1.3750487332005967,-2.585917249516499
0.36,0.6549270258471903,-3.79729746098972,1.3184804680110578,-3.075853513973794
0.38,0.5800866623396247,-3.6775391947231286,1.2518365256255288,-3.5925077933740392
0.4,0.5082067818975072,-3.500615670469237,1.1746399930088032,-4.130206889666499
0.42,0.44046418754936467,-3.263445166240411,1.0865221130435714,-4.683850217558917
0.44,0.3780763534015664,-2.9653102927091433,0.9872097301000848,-5.2489296584973575
0.46,0.3222350217192691,-2.6099467066715776,0.8765202245814484,-5.8206195577045685
0.48,0.2739842910824506,-2.209178380742724,0.7543931368136826,-6.390764301597381
0.5,0.23400085797131834,-1.7892512093806814,0.621017374895867,-6.941037861305177
0.52,0.2022177993413573,-1.3998210870089924,0.47714187705955524,-7.431676054763161
0.54,0.17728942777567283,-1.118658390332545,0.3246088752279791,-7.792870335294962
0.56,0.1561613336635402,-1.0325436553118563,0.16685655940073327,-7.940991278971933
0.58,0.13437386613755967,-1.1855273393979395,0.00870495403252858,-7.831710570174382
0.6,0.10736488437841701,-1.5430956455042182,-0.14490438287958274,-7.497895618612074
0.62,0.07184427128178111,-2.0218313902605116,-0.29023734615148,-7.017537717252496
0.64,0.02622058392356576,-2.54221135410888,-0.42509291147658407,-6.459158392727408
0.66,-0.029763171933023632,-3.051239429950779,-0.5483519029479539,-5.862298007574497
0.68,-0.09555431840135208,-3.519557182955476,-0.6594517640348706,-5.245179703097216
0.7000000000000001,-0.17017717448646552,-3.932913786369643,-0.7580820528005147,-4.6164524629354915
0.72,-0.25246672718206764,-4.285805139786618,-0.8440759040151642,-3.982687660622007
0.74,-0.3412012354453888,-4.577544201438087,-0.9174087884661143,-3.351903787709788
0.76,-0.4351703959327984,-4.809562631044772,-0.9782434005698104,-2.7349336354366636
0.78,-0.5331945939782096,-4.983132478527148,-1.026991939297469,-2.1459567361483893
0.8,-0.6341004668792528,-5.097287002414476,-1.0643862222724683,-1.602783682345903
0.8200000000000001,-0.7366594585943504,-5.147315249183239,-1.0915498568308313,-1.1266641011499319
0.84,-0.839510069893463,-5.124856234564746,-1.1100530004587257,-0.740482284324681
0.86,-0.9411090462754257,-5.020867624880838,-1.1219020446741212,-0.4638658684363043
0.88,-1.0397723694723084,-4.831387808889392,-1.1293999574434852,-0.305492021025071
0.9,-1.1338349273351174,-4.562843925651675,-1.1348571101324578,-0.2568499730283774
0.92,-1.221871463552599,-4.23227568060292,-1.1402423958374293,-0.2932132435874606
0.9400000000000001,-1.302860671101271,-3.861846340694779,-1.1469356246647833,-0.38216875169592646
0.96,-1.3762178668125469,-3.4721039720804407,-1.1556764923586758,-0.4935088386024522
0.98,-1.4417182693953472,-3.078176154030379,-1.1666741568333943,-0.6048745712034065
1.0,-1.499379913744998,-2.68934615909251,-1.1797788480193745,-0.7025795263922577
1.02,-1.5493582855513983,-2.3103431932404157,-1.1946403857208496,-0.7798977887089589
1.04,-1.5918710411729802,-1.9428917414823628,-1.2108250102613758,-0.8348490660987167
1.06,-1.6271506325410547,-1.5869087017038428,-1.2278912407790696,-0.8683886940817742
1.08,-1.6554164885155738,-1.241271930146569,-1.2454353075371996,-0.8831698169898469
1.1,-1.6768591308262946,-0.9042675590798179,-1.2631167250130164,-0.882768857737678
1.12,-1.691631070365792,-0.5738387107361252,-1.2806717182245613,-0.8712218148262754
1.1400000000000001,-1.699841483374468,-0.2477269925594365,-1.2979194136743448,-0.8527470094517262
1.16,-1.701553166437913,0.07643298673018217,-1.314763581638351,-0.8315648030899954
1.18,-1.6967812648490241,0.4010248424451574,-1.3311911755647794,-0.8117476595427758
1.2,-1.6854940053819951,0.728332893083867,-1.347267695828533,-0.7970427648395226
1.22,-1.6676163760202982,1.0603583660749223,-1.3631282285416457,-0.7906065262335755
1.24,-1.643038516831526,1.3985232242100745,-1.37896172416899,-0.7945810541641969
1.26,-1.6116315966772214,1.743209881670051,-1.3949845938420824,-0.8094384124762073
1.28,-1.5732748369338632,2.093106113334461,-1.411398457709608,-0.8330509594916298
1.3,-1.5278972188944253,2.444414964418655,-1.4283270800539294,-0.8595716782228922
1.32,-1.4755343527688987,2.7901972272143696,-1.445731731927706,-0.8784897670216997
1.34,-1.4163927347360277,3.1204041850367887,-1.463315443591702,-0.8746192680246074
1.36,-1.350900846142887,3.423244305778751,-1.4804440650468236,-0.8299108255609141
1.3800000000000001,-1.279718235247502,3.687932742216121,-1.4961241551322757,-0.7272253741199138
1.4000000000000001,-1.2036846566031052,3.9076396742861377,-1.509065063941222,-0.5546032825411753
1.42,-1.123723933916331,4.080797663398798,-1.517811103212509,-0.3076417924896316
1.44,-1.0407463202490193,4.209970117190126,-1.5208908007566098,0.011167945705114686
1.46,-0.955590816502099,4.299253464478084,-1.516930204949867,0.3950548627027202
1.48,-0.8690205104349962,4.351803029936594,-1.5047109030366037,0.8355985702283394
1.5,-0.7817579394341833,4.368368376692398,-1.483185425008885,1.3242833169196937
1.52,-0.6945390404524832,4.346855869850122,-1.451472832807888,1.8529901937586428
1.54,-0.6081683575315728,4.282579175289372,-1.4088509130945992,2.413939122854823
1.56,-0.5235650249314405,4.168891766675053,-1.3547507303447437,2.999579614856917
1.58,-0.44179385212259487,3.998023319011192,-1.2887510791628434,3.602746845522316
1.6,-0.3640784823198674,3.762023168604528,-1.2105659244223068,4.217214520478937
1.62,-0.29179516788893584,3.4537469877717064,-1.1200169832321178,4.838606941946633
1.6400000000000001,-0.2264465403411436,3.0678799027995596,-1.0169862232327849,5.465435278266158
1.6600000000000001,-0.169613145180731,2.602206522204477,-0.9013506636667064,6.099696161421323
1.68,-0.12287097643275052,2.0599717028917506,-0.7729192169322227,6.745758868892361
1.7,-0.08763322382730915,1.4556809650182416,-0.6314312868557951,7.404589883013854
1.72,-0.06480303274270886,0.8292024626707637,-0.4767649632713998,8.057298594778356
1.74,-0.05402187043255254,0.2717809828183373,-0.30963600811022485,8.63255001650731
1.76,-0.05242693002360487,-0.0597028312208394,-0.1329591159236631,8.982704219370566
1.78,-0.053887954307604666,-0.01906681600144044,0.04714247959024383,8.959753560315596
1.8,-0.05075006632944403,0.3819984652704405,0.22298545695541372,8.57553933862573
1.82,-0.03724540067319679,0.9882677306021337,0.3888014600723668,7.985601342504401
1.84,-0.010865835842058209,1.6500862070314049,0.5419728489262056,7.32728914742581
1.86,0.028562563975953977,2.284135367584452,0.6818544081953957,6.661655156730519
1.8800000000000001,0.08006999004229652,2.854452549080096,0.8084851285449127,6.002455927940501
