time,theta1,omega1,theta2,omega2
0.0,1.5789436876481249,0.0,1.5622964718583818,0.0
0.02,1.576701469093595,-0.22422677593135779,1.5622961830801538,-2.398079620334832e-05
0.04,1.5699743113236126,-0.4484961575371643,1.5622958183544151,-5.184253663513917e-06
0.06,1.5587616408302238,-0.6727567384057103,1.5622959781709138,8.075691072364213e-06
0.08,1.5430656346777416,-0.8967691808666909,1.562294627926716,-0.00021460267359660782
0.1,1.5228959077225812,-1.1200143982992008,1.5622825558639202,-0.001174754165290723
0.12,1.4982759563183041,-1.3416107290289072,1.562237124670292,-0.0037257288384778694
0.14,1.4692510771988965,-1.5602521116218415,1.5621145779374626,-0.009133837223930364
0.16,1.4358971651029206,-1.7741854499987406,1.5618414576993316,-0.019102863643295623
0.18,1.3983294002849382,-1.9812472526108678,1.561306061650507,-0.03574264353146279
0.2,1.3567094779248594,-2.1789742330528097,1.5603512235152017,-0.06146648575586406
0.22,1.3112498851466992,-2.3647865891357265,1.5587698795617024,-0.09881572107107614
0.24,1.26221396799709,-2.5362175496053614,1.556304740441037,-0.1502315555088552
0.26,1.2099113557989376,-2.6911400526641276,1.5526527081563652,-0.21781531161756454
0.28,1.1546893683777806,-2.8279317260378103,1.547473781035083,-0.303128559895273
0.3,1.0969221313527397,-2.9455342662345663,1.5404031924754824,-0.4070745503223864
0.32,1.0369996836627715,-3.0433962489306947,1.5310649534955054,-0.5298763176694322
0.34,0.9753192120591302,-3.1213241726578014,1.5190849643464264,-0.6711372502332527
0.36,0.912279800249267,-3.1792884434940145,1.5041023595847556,-0.8299509503365894
0.38,0.8482811000669623,-3.217232596051976,1.485778464627324,-1.0050248973740756
0.4,0.7837254667484977,-3.2349217403145887,1.4638033685517844,-1.1947921243222324
0.42,0.7190225856897854,-3.2318469982808518,1.4379004776316986,-1.3975008644262514
0.44,0.6545954065179942,-3.2071893718733917,1.4078294949842702,-1.611283479291831
0.46,0.5908862611757342,-3.1598362672599016,1.3733881512593638,-1.8342140923420158
0.48,0.5283622102492332,-3.088440159825671,1.3344128011971421,-2.0643663132195855
0.5,0.46751888872681324,-2.9915078851797197,1.2907777819433097,-2.2998808824982535
0.52,0.408882357278248,-2.8675091607823915,1.2423932625338234,-2.5390492112676575
0.54,0.3530086786433555,-2.7149938352421095,1.189201253252569,-2.780413721902955
0.56,0.3004811354318053,-2.5327093519229646,1.1311694769151748,-3.022879841673504
0.58,0.2519051335496673,-2.319714749485488,1.068282979543756,-3.2658273761498444
0.6,0.2079008192003895,-2.0754979504951643,1.0005336869447008,-3.5091996734934865
0.62,0.16909310058906826,-1.800124830130149,0.9279086990302817,-3.75353384159896
0.64,0.13609786794442336,-1.4944870040768272,0.850379040817196,-3.9998697069138807
0.66,0.10950117756081103,-1.1607881974477359,0.7678923442289983,-4.249424367271537
0.68,0.08982433191494031,-0.8035233895767769,0.6803759381049725,-4.502833537155631
0.7000000000000001,0.07746121600927383,-0.4313516250305486,0.5877620025180318,-4.758640845205737
