time,theta1,omega1,theta2,omega2
0.0,1.5679127736589216,0.0,1.5962033375133062,0.0
0.02,1.56637044840483,-0.1542292952568748,1.5962031041178018,-2.8483764062280752e-05
0.04,1.5617438919477835,-0.30841430226464533,1.5962017408668494,-0.00012661299903158794
0.06,1.5540346359514154,-0.4624836663482388,1.5961968747223383,-0.0004018406805934592
0.08,1.5432461334464884,-0.616312241925719,1.596183293054517,-0.001036782822153259
0.1,1.529385093565215,-0.769695367032694,1.5961510779861663,-0.002325236230939907
0.12,1.5124633130311644,-0.9223253135930356,1.5960830441145821,-0.004705275586972654
0.14,1.4924999414494842,-1.0737716612639718,1.5959515644707758,-0.008787065797672884
0.16,1.4695240804900283,-1.2234681724315029,1.5957149195089282,-0.015371863391298755
0.18,1.443577554697404,-1.3707091702629104,1.5953133901166079,-0.0254580219540261
0.2,1.4147176345611652,-1.5146583369457205,1.5946653967968796,-0.04022976475198679
0.22,1.3830194410983387,-1.654371958422426,1.5936640649653304,-0.061025417236602195
0.24,1.3485777432098989,-1.7888365124337045,1.592174634986532,-0.08928433747517622
0.26,1.311507877204123,-1.917017563518782,1.590033133855167,-0.12647533062122857
0.28,1.2719456268929505,-2.03791355912661,1.5870466082611556,-0.17401366660353954
0.3,1.2300460520819723,-2.1506061563412953,1.5829950416649479,-0.2331766089959643
0.32,1.1859814197692582,-2.2542977207594754,1.5776348862425524,-0.3050290647413611
0.34,1.1399385759091065,-2.3483290777776142,1.5707038963409892,-0.39036874815327055
0.36,1.0921161885522088,-2.43217443567932,1.5619268155840467,-0.48969621069579217
0.38,1.0427223110300348,-2.505415239643077,1.5510214088096195,-0.6032097840655457
0.4,0.9919726318758917,-2.5676987316117215,1.5377043821361691,-0.7308209485882515
0.42,0.9400896406793483,-2.6186893134078613,1.5216968479661455,-0.8721830499255016
0.44,0.88730276940667,-2.6580208068439495,1.5027291448639781,-1.0267262937012036
0.46,0.8338494221853218,-2.6852568027065935,1.4805449382220786,-1.1936932166714729
0.48,0.7799766683531538,-2.69986340595869,1.4549046423081144,-1.3721721263931979
0.5,0.7259433457862894,-2.701197400465707,1.4255881884731236,-1.5611276252541124
0.52,0.6720222271040118,-2.6885103069797447,1.3923972095555075,-1.7594300950896715
0.54,0.6185019553886915,-2.660968176327346,1.3551566200750176,-1.965886226384939
