time,theta1,omega1,theta2,omega2
0.0,1.548581433031267,0.0,1.575066818878891,0.0
0.02,1.5471681371632118,-0.1413275061977185,1.5750659196520274,-9.347371427620375e-05
0.04,1.5429285146442648,-0.28262749243717267,1.5750627670882205,-0.00023432837700806676
0.06,1.5358634748474929,-0.42386120614797906,1.575055783456057,-0.0004908880474806801
0.08,1.5259749095445891,-0.5649674486679349,1.5750416381121246,-0.0009733279185912291
0.1,1.5132662474668008,-0.7058516920397794,1.5750142132196103,-0.0018539732268975384
0.12,1.497743232869801,-0.8463754993228174,1.5749631518960543,-0.0033870413736037256
0.14,1.479414896401537,-0.9863469718255862,1.5748720472782631,-0.00592648168886945
0.16,1.4582947122880754,-1.125512450380829,1.57471628353672,-0.009941485285913858
0.18,1.4344018990663554,-1.2635503939477983,1.5744606085956248,-0.016027919049817534
0.2,1.407762814545926,-1.4000682080023112,1.5740565314389054,-0.024914174094308305
0.22,1.3784123767907037,-1.5346028732801733,1.5734396742338677,-0.037459692152987334
0.24,1.346395429731079,-1.6666261088881162,1.57252723824103,-0.0546445223450343
0.26,1.3117679556873318,-1.7955543854385507,1.5712157805082718,-0.07754885412012608
0.28,1.2745980425386632,-1.920763538267132,1.569379498671038,-0.10732232970422137
0.3,1.2349665179213345,-2.0416069586088375,1.5668692298852935,-0.14514412402805002
0.32,1.1929672001397913,-2.1574355402272514,1.5635123180725223,-0.19217617683577867
0.34,1.148706751714223,-2.267616945321632,1.5591134579950954,-0.2495130742087135
0.36,1.102304178483087,-2.3715514423104884,1.553456539277208,-0.31813288422053315
0.38,1.0538900641430973,-2.4686820379773216,1.5463074300700286,-0.398852911079235
0.4,1.003605676792465,-2.5584971047599665,1.5374175651647728,-0.492294052787931
0.42,0.9516020999711339,-2.6405252028617268,1.5265281451303505,-0.5988555969807114
0.44,0.8980395416374215,-2.7143229486755875,1.5133747259611128,-0.7187009945918764
0.46,0.8430869341736672,-2.7794578618865446,1.4976919997859808,-0.8517537029435013
0.48,0.786921912201211,-2.8354891760706695,1.4792185591940863,-0.9977011942663794
0.5,0.7297311634177037,-2.8819495037889205,1.4577015267353373,-1.1560051059811327
0.52,0.6717111150976858,-2.9183303447974684,1.4329009325109263,-1.325915730090965
0.54,0.6130688507710342,-2.9440738132024884,1.4045937689200882,-1.5064897362788645
0.56,0.5540231155971456,-2.95857230381202,1.3725776620192238,-1.6966107743675671
0.58,0.49480524035093365,-2.961177048831827,1.336674099928135,-1.8950132568003755
0.6,0.43565980301409685,-2.951215783978803,1.2967311484609925,-2.100309969234081
0.62,0.3768448491707334,-2.9280190751374007,1.2526255707697507,-2.3110241402647533
0.64,0.31863150731251116,-2.890954291510461,1.2042642585746552,-2.525626196531113
0.66,0.2613028600062654,-2.8394657760472684,1.151584885000962,-2.742574681358698
0.68,0.20515196383202686,-2.773119501650462,1.0945557093165652,-2.9603597912907924
0.7000000000000001,0.15047894597323655,-2.6916504714497416,1.0331745067078466,-3.1775467661098205
0.72,0.0975871380553479,-2.595011399089405,0.9674666637230114,-3.3928150639981838
0.74,0.046778230705356,-2.483421821348424,0.8974825797351556,-3.604987672569816
0.76,-0.001653557734129646,-2.357417957989285,0.8232946352051611,-3.8130439208794114
0.78,-0.04742833220204756,-2.217904918762991,0.7449941360250097,-4.016107312617299
0.8,-0.09028846409421494,-2.066214588229314,0.662688828668886,-4.21339926066768
0.8200000000000001,-0.13000778603128538,-1.9041736815640466,0.5765017609950549,-4.404148938306856
0.84,-0.16640228746276223,-1.7341863161106545,0.4865724571263533,-4.5874511744167945
0.86,-0.19934261858034605,-1.5593317427172946,0.39306148442411915,-4.762069842878429
0.88,-0.2287686354881397,-1.3834678341189073,0.2961594213540883,-4.926197681032264
0.9,-0.2547058494091807,-1.211310830993663,0.1961007896737434,-5.0772096851962285
0.92,-0.2772827605617153,-1.0484314727182302,0.09318236563537897,-5.211487774368079
