time,theta1,omega1,theta2,omega2
0.0,1.5722651619744388,0.0,1.565032676417919,0.0
0.02,1.5710821119632568,-0.11830550552030618,1.5650326504758245,-9.72602890683125e-07
0.04,1.5675329147031987,-0.23661458297521126,1.565032728305152,1.0281145876556474e-05
0.06,1.5616175709734026,-0.3549163737390589,1.565032965455889,4.390910891407051e-06
0.08,1.5533365644985313,-0.4731711013399159,1.5650320640927198,-0.00013137179676740365
0.1,1.542691581204423,-0.5912958269801929,1.5650252994855742,-0.0006341595743628473
0.12,1.5296865156903898,-0.7091505722036969,1.5650016184811353,-0.0019055793832595323
0.14,1.5143287379965529,-0.8265256998303502,1.56493998660712,-0.0045481467004643535
0.16,1.4966305976074008,-0.943131424369987,1.5648050489818992,-0.009395682450778873
0.18,1.4766111022738713,-1.0585909595774303,1.5645422832509586,-0.017533304418769526
0.2,1.4542976840634143,-1.172438926604045,1.5640728962599095,-0.030302225761799244
0.22,1.4297279313796696,-1.2841265627878904,1.5632888174310378,-0.049284590170783196
0.24,1.402951139438707,-1.3930347555169464,1.5620482276641876,-0.07626467926713457
0.26,1.37402952309714,-1.4984947624326046,1.5601721060309843,-0.11316568032066147
0.28,1.3430389490341577,-1.5998149193591251,1.5574422695939156,-0.16196509617024574
0.3,1.3100691018680757,-1.696309891773419,1.5536012567136597,-0.22459652638818345
0.32,1.2752230790519017,-1.7873278728478947,1.5483542158862813,-0.3028488958539991
0.34,1.2386165020520303,-1.8722708021222754,1.5413727350622817,-0.3982757386736468
0.36,1.20037632738822,-1.9506037835958863,1.5323002888976787,-0.5121253474563968
0.38,1.1606395931241351,-2.021852069125992,1.5207588168078774,-0.6452981564953915
0.4,1.119552342003373,-2.0855866670152174,1.5063558744359535,-0.7983319914717778
0.42,1.0772689205130257,-2.141402148744813,1.4886918308413217,-0.9714105293361082
0.44,1.0339517558855904,-2.188891823279632,1.4673667333348068,-1.1643869711297543
0.46,0.9897716082760327,-2.227626053333844,1.4419866208732257,-1.3768140519356566
0.48,0.9449081771411525,-2.257139382938888,1.4121692422063594,-1.60797224566035
0.5,0.8995508357228925,-2.2769314528831255,1.3775492823127822,-1.8568898262650173
0.52,0.8538991690023859,-2.2864863322657465,1.3377833157712313,-2.1223493189457288
0.54,0.8081629115170044,-2.285314688598711,1.292554808209993,-2.402874548748935
0.56,0.762560751454442,-2.273024219722679,1.2415796562538952,-2.6966890673065596
0.58,0.717317414508243,-2.249424376605529,1.184612943458884,-3.0016319218249383
0.6,0.6726582321448877,-2.2146739714299435,1.12145799669216,-3.3150075859218706
0.62,0.6288002497850287,-2.1694808575521822,1.051979356105247,-3.633339046357503
0.64,0.5859387596241015,-2.115360660500894,0.976121939369141,-3.951989792261463
0.66,0.5442280934255624,-2.054948601282995,0.8939392651121271,-4.264638124939351
0.68,0.5037559415800651,-1.9923246014235267,0.8056333427774337,-4.5626503448893825
0.7000000000000001,0.46451188053211007,-1.9332404936740162,0.7116066949931653,-4.834545219053197
0.72,0.4263540120409799,-1.885036854957829,0.6125209045007465,-5.065967554932291
0.74,0.3889827693237347,-1.8559634713448374,0.509345560434305,-5.240776965814089
0.76,0.3519359588644317,-1.8537333804709564,0.40337030209649466,-5.343667599519935
0.78,0.3146186486451796,-1.88357933296947,0.29615197110133945,-5.363856267225523
0.8,0.2763702775650642,-1.9466469505590012,0.18939032972253764,-5.298193099831882
0.8200000000000001,0.23655245273672973,-2.039648088635721,0.08476364249461513,-5.151831964013685
0.84,0.19462853342785863,-2.155974904921838,-0.01621975017066576,-4.93607623568245
0.86,0.15021175706588952,-2.2875672835403957,-0.1123098364745693,-4.664867005365151
0.88,0.10307658457951317,-2.426591756601633,-0.20253584397045038,-4.351801621269863
0.9,0.05314298225645787,-2.566435084856792,-0.2861814327867603,-4.008591864150366
