time,theta1,omega1,theta2,omega2
0.0,1.5718606383172808,0.0,1.574325453897686,0.0
0.02,1.5703140924314407,-0.1546543386152687,1.5743254542801723,-4.027029275290209e-07
0.04,1.5656745086208026,-0.3093014151226126,1.5743253690092074,-1.2032541413762262e-05
0.06,1.5579422748929692,-0.4639112635456158,1.5743246301179885,-7.694418793713915e-05
0.08,1.547118794157316,-0.6184085609506716,1.5743212646032079,-0.00029875501966240565
0.1,1.5332076183204393,-0.7726503345896234,1.5743103547255377,-0.0008729364131026348
0.12,1.5162160058350396,-0.9264048884063827,1.5742819226471982,-0.0021154984565030944
0.14,1.4961569064956095,-1.0793326668391905,1.5742182324343974,-0.004489160304884741
0.16,1.4730512628641945,-1.2309715206911405,1.5740906566477908,-0.008623731770399481
0.18,1.4469305657214167,-1.3807282379638037,1.5738561880348851,-0.01532823879335964
0.2,1.4178394820345104,-1.5278792089048048,1.573453837971541,-0.02559087540621234
0.22,1.3858383619340164,-1.6715828117283633,1.5728011808955114,-0.04056307820949425
0.24,1.351005370743283,-1.810904582258462,1.5717913938293755,-0.061525763318531074
0.26,1.3134379872752668,-1.944854751248291,1.5702911602091656,-0.08983736380413264
0.28,1.273253655999099,-2.072434888492945,1.5681397676711106,-0.1268667089986157
0.3,1.2305894606231609,-2.1926875008572044,1.5651496524027693,-0.17391742397227525
0.32,1.185600841699437,-2.304741083135103,1.5611084655311631,-0.23215236211110873
0.34,1.1384595259534709,-2.4078427206289357,1.5557825675090855,-0.3025276811535046
0.36,1.0893509756144009,-2.5013722432927956,1.5489216863712603,-0.3857444546535008
0.38,1.0384717656498663,-2.5848358614077664,1.540264321087387,-0.4822218498045675
0.4,0.9860272790843448,-2.6578410377149924,1.5295434668807502,-0.5920918179029764
0.42,0.9322300504372568,-2.720057885049296,1.516492260922399,-0.7152114950233062
0.44,0.8772989604314428,-2.7711742552329026,1.5008492492024672,-0.8511875000165465
0.46,0.8214593233300659,-2.810851982251722,1.4823631026148412,-0.999405958184782
0.48,0.7649437899914353,-2.8386903412482756,1.4607967131916086,-1.1590637775928427
0.5,0.7079938693416467,-2.854201127534783,1.4359306765610544,-1.32919851001619
0.52,0.650861814924445,-2.8567976958296954,1.407566195899479,-1.5087163649043596
0.54,0.5938125773906187,-2.845798752462688,1.3755274363446006,-1.6964195467351166
0.56,0.5371255416127101,-2.8204462641460406,1.33966332207175,-1.8910349993663442
0.58,0.48109577419790883,-2.7799361239974765,1.299848725806495,-2.0912466926840327
0.6,0.4260345472126078,-2.7234595884884754,1.2559849638229996,-2.295733010619537
0.62,0.3722689440825375,-2.650253167592846,1.207999487296766,-2.5032096652561155
0.64,0.32014040269937993,-2.5596546332606103,1.1558446687062554,-2.712476912455388
0.66,0.27000209379982876,-2.451163243355644,1.099495625991766,-2.922467826700276
0.68,0.22221506047480055,-2.324503426422704,1.038947115597715,-3.1322919647964356
0.7000000000000001,0.17714303951841973,-2.1796934238166146,0.974209667727441,-3.34126578627384
0.72,0.1351458217842185,-2.0171241324893288,0.9053053421349496,-3.5489174717371403
0.74,0.09657084356158879,-1.837659339341954,0.8322637954286358,-3.7549483624904023
0.76,0.06174241434070474,-1.6427762022501806,0.7551197337606181,-3.9591269671567986
0.78,0.030947497348087605,-1.4347746975216695,0.6739134405153085,-4.161082117377813
0.8,0.004416316371410814,-1.2170915604780754,0.5886967796556654,-4.359955277102116
0.8200000000000001,-0.017704621527975296,-0.9947481172501513,0.4995478721266247,-4.55387601663666
0.84,-0.03538975487514963,-0.7749178160451488,0.40659807088749195,-4.739264399934794
0.86,-0.04878325225844705,-0.5674746409548332,0.3100737476543614,-4.9100849013975205
0.88,-0.058255710851430595,-0.38515030629904684,0.2103507193076403,-5.057412958352854
0.9,-0.06445488895784615,-0.24265925053794,0.10800898466584244,-5.16996282454523
0.92,-0.0683232611215467,-0.15419866545942587,0.0038615997972787433,-5.236213892421007
0.9400000000000001,-0.07105035484144923,-0.12959291374972462,-0.10107456682541854,-5.247944455804459
0.96,-0.07394795215764706,-0.17083068634547055,-0.20567996356426702,-5.2035017345055445
