time,theta1,omega1,theta2,omega2
0.0,1.57696669886241,0.0,1.5634838971206335,0.0
0.02,1.573382145909723,-0.3584638687013972,1.563483784055862,-6.896549429274026e-06
0.04,1.5626278185198583,-0.716964343311185,1.5634837956672678,6.328487839059087e-06
0.06,1.5447053613435882,-1.0751723774472282,1.5634831801116156,-0.000120902644334115
0.08,1.5196296769391209,-1.4320320574549552,1.5634746738423455,-0.0009084703083859396
0.1,1.487446879070111,-1.7854277759844963,1.5634356215665475,-0.0034008288372280107
0.12,1.4482581421876612,-2.1319406228686786,1.5633161482325237,-0.009290334091639327
0.14,1.4022467234571403,-2.4667943613945154,1.5630256659773547,-0.020951053790439565
0.16,1.3497032043127142,-2.7841045528852355,1.5624200663287438,-0.04132793582692289
0.18,1.2910421282405151,-3.0774895491439143,1.5612928879571857,-0.07364911389694882
0.2,1.226803347482898,-3.3409608218880686,1.5593738166319193,-0.12099180469711228
0.22,1.157634743098439,-3.5698417339803616,1.5563364883752806,-0.18580970755937853
0.24,1.0842590573183577,-3.761385514884363,1.5518148824334757,-0.26957086307387085
0.26,1.0074334164418492,-3.9148698757499147,1.5454248643334707,-0.3726151887006831
0.28,0.9279122815617765,-4.031181112611527,1.5367862170036213,-0.494241272001246
0.3,0.8464221250983918,-4.112103300281081,1.5255412723537636,-0.6329412339038215
0.32,0.7636509938593532,-4.159583492577872,1.511368293212171,-0.7866728233964395
0.34,0.6802512901017824,-4.175162540834494,1.493989767285182,-0.9530884610332918
0.36,0.596851620742628,-4.1596435448519244,1.473176831715415,-1.1296906496638865
0.38,0.5140729989933908,-4.112980095243133,1.4487512717516002,-1.313923081728989
0.4,0.43254551943450187,-4.034330120343982,1.4205861245118698,-1.503224251782883
0.42,0.3529227821713494,-3.9222186286118026,1.388605345532842,-1.695071759458646
0.44,0.2758923674817191,-3.774763434341116,1.3527824955048076,-1.8870386911357186
0.46,0.2021814659967841,-3.5899288064649295,1.3131380701307869,-2.076874125255028
0.48,0.1325574015271207,-3.3657775308965574,1.2697349466405252,-2.2626109369962166
0.5,0.06782336395912358,-3.100693219143432,1.2226714331993358,-2.4426963358077467
0.52,0.008810236855485532,-2.7935438155103776,1.1720715609845127,-2.6161351244216755
0.54,-0.0436340205195228,-2.4437577886517263,1.1180724900988224,-2.782632696257724
0.56,-0.0886554334740031,-2.0512887400939563,1.0608091681279275,-2.94272469165967
0.58,-0.12540311285177821,-1.6164542185958282,1.0003966211481194,-3.097882889191455
0.6,-0.15303389059287725,-1.1396531125458962,0.9369104235293515,-3.250590658769443
0.62,-0.1707103482390207,-0.6209961377069577,0.8703660090679731,-3.4043812091352263
0.64,-0.17759131859730615,-0.05994858333675563,0.8006977268922906,-3.5638198147498317
0.66,-0.17281717015541004,0.5447758420474441,0.7277393047603804,-3.7343621981503494
0.68,-0.15549985172109948,1.1944866096636881,0.6512098918428151,-3.921883429233461
0.7000000000000001,-0.1247465160536227,1.8875412237195324,0.5707169614194283,-4.131324460692991
0.72,-0.07978933366500213,2.610977556287067,0.4858049970234684,-4.36316696305659
0.74,-0.020379668067296013,3.321532660343663,0.3961144595351047,-4.605540042913491
0.76,0.052315733661610034,3.9160115493161705,0.3017501167131883,-4.821795904974029
0.78,0.13436023707788258,4.225995990013415,0.20384620972846768,-4.947691720982418
0.8,0.2184913093346988,4.11297822826724,0.10482157759463097,-4.929339323656098
0.8200000000000001,0.2962294533566596,3.6074919601190363,0.0075637471543672915,-4.779273309110877
0.84,0.3612774830608952,2.8739072031639306,-0.08590402463749208,-4.561893979541853
0.86,0.41068436851835777,2.062451312362228,-0.1748467766461827,-4.333597722214504
0.88,0.4437970041342385,1.2525813733524203,-0.25935414048432204,-4.120544360310679
0.9,0.4610018167021303,0.47416674513706936,-0.3398070488504271,-3.927981307653637
0.92,0.4630270815383854,-0.26494076848671844,-0.41658366639894784,-3.7518745647150795
0.9400000000000001,0.4506710585559485,-0.9640434849384588,-0.48994513890953434,-3.5852309059092877
0.96,0.4247283379817023,-1.623673427354069,-0.5600074136831624,-3.4207925765105247
0.98,0.38598710933634384,-2.243832425340154,-0.6267481874985765,-3.2520975430399583
1.0,0.3352423113836906,-2.8238954416972573,-0.6900276748642411,-3.073903475954437
1.02,0.27330390758487433,-3.3630800312240896,-0.7496150560885996,-2.882368084159908
1.04,0.20099437290257288,-3.86100359688007,-0.805217308841481,-2.675118438440276
1.06,0.11913616823744569,-4.318100214519689,-0.8565086922826242,-2.4512511179180936
1.08,0.028533400355102503,-4.735768284675124,-0.9031597497904809,-2.21128897716468
1.1,-0.07004597720675253,-5.116152990504565,-0.9448653456029359,-1.9571372212620508
1.12,-0.1758791101407078,-5.461458285266222,-0.9813724022534323,-1.692112590025286
1.1400000000000001,-0.2882775376092992,-5.772640258325159,-1.0125098180627248,-1.42115239519855
1.16,-0.4065426269205821,-6.047300044314207,-1.0382253637125582,-1.1513199923419635
1.18,-0.5298702136545078,-6.27674058569601,-1.0586360636271963,-0.8926343240921699
1.2,-0.6571927824487744,-6.442899242033092,-1.0740961676646725,-0.6588907486580764
1.22,-0.7869784878425948,-6.517744011318277,-1.0852727047474173,-0.4673156996148278
