time,theta1,omega1,theta2,omega2
0.0,1.5818021603839802,0.0,1.5560644002526696,0.0
0.02,1.5796800391076196,-0.21221966406367027,1.5560632918663124,-9.80372111859154e-05
0.04,1.5733128526038516,-0.4245145656278439,1.556061368460675,-6.743137920196484e-05
0.06,1.5626989942206635,-0.636873155360456,1.5560614241755981,7.83580923078966e-05
0.08,1.5478386811449747,-0.8491099303475504,1.5560633762475384,4.108601115760802e-05
0.1,1.5287383047404788,-1.0607791763148045,1.5560571429398946,-0.0009035081866688368
0.12,1.5054164423580212,-1.2710957239222276,1.5560127986482721,-0.004035771375573655
0.14,1.4779113024669213,-1.4788738138580813,1.5558683681620287,-0.011293419508228913
0.16,1.4462890694150126,-1.6825013749754085,1.5555161107366184,-0.02531624825923981
0.18,1.4106522439158244,-1.8799691242011978,1.5547887455024552,-0.04940230761579117
0.2,1.3711467260198145,-2.0689688758073435,1.5534476633121066,-0.08734973394655512
0.22,1.3279662333328803,-2.247059357783071,1.551175501113123,-0.14318116564575034
0.24,1.2813529245774666,-2.411873275870407,1.5475751601404841,-0.2207838013594079
0.26,1.2315938684196392,-2.561316363868233,1.5421763138208966,-0.3235337931004442
0.28,1.1790140872576154,-2.6937020126329356,1.5344488858749568,-0.45398826061362973
0.3,1.123967911458469,-2.807781684520319,1.5238214386837121,-0.6137096018472962
0.32,1.0668308355525475,-2.902666158074839,1.5097015558782851,-0.8032414331145088
0.34,1.0079938192052968,-2.977668039781588,1.491495381803263,-1.022207861839305
0.36,0.9478611099342961,-3.032115161712663,1.4686244022843262,-1.2694812418533157
0.38,0.8868516728849407,-3.0651839764964213,1.4405386441418897,-1.5433645115238297
0.4,0.825403446632996,-3.0757877492171835,1.4067263855762155,-1.8417543739000164
0.42,0.7639791235458705,-3.062537499416668,1.3667208953532333,-2.1622752341037152
0.44,0.7030719438791516,-3.0237810291439833,1.3201047376525008,-2.5023901382985705
0.46,0.6432099136169496,-2.9577196629836067,1.266512000582119,-2.8594996152392724
0.48,0.5849569181205355,-2.862603524964744,1.2056286361087587,-3.231030080071606
0.5,0.5289090732251523,-2.737015363511903,1.137191280032236,-3.614490973173057
0.52,0.4756842792526621,-2.5802732098626113,1.0609857151488618,-4.007439869470509
0.54,0.42590203454625536,-2.393019338309531,0.9768478890653809,-4.407232441687139
0.56,0.38014856278921577,-2.1781250142471076,0.8846738517142592,-4.810337473769273
0.58,0.3389191124498047,-1.9421074614483487,0.7844503619968481,-5.210889789150128
0.6,0.3025251332506577,-1.697239648591531,0.6763250986308673,-5.598134734438086
0.62,0.2709534731467696,-1.4641250631949372,0.5607390247292877,-5.952877991389029
0.64,0.24368081177530235,-1.2731588760330612,0.4386270728471148,-6.244727898445481
0.66,0.2195001617247402,-1.1610748692900974,0.31162893875056313,-6.434843825242636
0.68,0.19649925230677084,-1.1590168048179226,0.18214522691289642,-6.488989579839353
0.7000000000000001,0.1723344863447495,-1.276726550390157,0.053058615162239524,-6.3958235298949555
0.72,0.14474359127474365,-1.4968552780477358,-0.07282261508532764,-6.173476726656804
0.74,0.11200359003147024,-1.7854888041127923,-0.19325365310017473,-5.857035787182089
0.76,0.07310215222668225,-2.1076990281621075,-0.3067075704319977,-5.480755493434421
0.78,0.02765448487990975,-2.4363981981732143,-0.41224974074739323,-5.069015432430589
0.8,-0.024276117530117942,-2.7536894079975403,-0.5093299143621458,-4.636324970914313
0.8200000000000001,-0.08234490329806937,-3.0489133750249753,-0.5976179356318805,-4.190818551767344
0.84,-0.14604650858755505,-3.316317136092047,-0.6769115111635853,-3.737618444822022
0.86,-0.21479406387125388,-3.5532515761345365,-0.7471002491527713,-3.2810733395512948
0.88,-0.28796767106152504,-3.75887752862354,-0.8081642025549927,-2.8260324612530083
0.9,-0.3649402055669695,-3.933156440556794,-0.8601915610861027,-2.3785484172449203
0.92,-0.4450842623550678,-4.07595375706312,-0.903407412979127,-1.946321898645533
0.9400000000000001,-0.52776171001877,-4.186198213768047,-0.9382102320106792,-1.539037990846475
0.96,-0.612297618507726,-4.26119018501078,-0.9652136367651211,-1.1685233686202678
0.98,-0.6979440389335152,-4.296342673461222,-0.9852868259095576,-0.848374158590327
1.0,-0.783846591106296,-4.28579911406635,-0.9995775247596123,-0.592478664930361
1.02,-0.8690352396157955,-4.224249051571335,-1.009490562222645,-0.41205008734098875
1.04,-0.9524610945501577,-4.1095649856788325,-1.0165960696863166,-0.3117796566740054
1.06,-1.0330832934830547,-3.9448849581055656,-1.0224676999477216,-0.28709358009780495
1.08,-1.109978564687646,-3.738621201148434,-1.0284956572534127,-0.32461009480465886
1.1,-1.1824274916589568,-3.50226011098745,-1.0357436285682031,-0.4058497969751797
1.12,-1.2499462447496004,-3.247418588552104,-1.0448947858643216,-0.5119708173474395
1.1400000000000001,-1.312265961777399,-2.98374137742487,-1.0562820159788286,-0.6271766492090922
